Name,Quantity,Component
"U1",1," Timer"
"U2",1," Johnson Decade Counter"
"Rpot1",1,"10. Ω Potentiometer"
"C1",1,"0.01 uF Capacitor"
"R1",1,"1 kΩ Resistor"
"C2",1,"10 uF Capacitor"
"R2, R3",2,"680 Ω Resistor"
"D2, D5, D8",3,"Red LED"
"D3, D11",2,"Yellow LED"
"D4, D10",2,"Orange LED"
"D6, D12",2,"Green LED"
"D7",1,"White LED"
"D9",1,"Blue LED"
"P1",1,"6 , 4.1  Power Supply"
